Platform,Year_of_Release,GDP,Region,Sales,Critic_Score
X360,2011.0,813223433671.1685,EU,0.92,89.0
X360,2006.0,684704773969.6798,EU,0.92,82.0
X360,2011.0,813223433671.1685,EU,0.11,78.0
PS2,2006.0,684704773969.6798,EU,0.64,84.0
PS4,2013.0,799312477804.6195,EU,1.33,73.0
X360,2010.0,753290960912.9017,EU,0.12,84.0
PS2,2004.0,615542926151.9761,EU,1.11,93.0
DS,2010.0,753290960912.9017,EU,0.51,79.0
DS,2009.0,758429859433.3378,EU,1.39,83.0
PS2,2005.0,642809709250.7335,EU,0.92,77.0
PS,1998.0,430053103276.2301,EU,1.09,92.0
XB,2004.0,615542926151.9761,EU,0.58,85.0
X360,2008.0,847701674062.6414,EU,0.63,85.0
XOne,2016.0,732733680124.9802,EU,2.05,84.0
PS2,2003.0,533581709788.27405,EU,1.11,89.0
PS3,2009.0,758429859433.3378,EU,1.4,84.0
PSP,2006.0,684704773969.6798,EU,1.11,71.0
PS3,2011.0,813223433671.1685,EU,0.73,79.0
PS2,2000.0,398749333247.69476,EU,0.47,78.0
X360,2010.0,753290960912.9017,EU,0.93,80.0
PS2,2004.0,615542926151.9761,EU,0.12,90.0
X360,2009.0,758429859433.3378,EU,0.8,82.0
X360,2011.0,813223433671.1685,EU,0.14,90.0
X360,2009.0,758429859433.3378,EU,1.79,90.0
X360,2010.0,753290960912.9017,EU,0.8,74.0
PS2,2002.0,438750932223.38245,EU,1.22,71.0
PS3,2009.0,758429859433.3378,EU,0.44,91.0
PS2,2004.0,615542926151.9761,EU,0.21,84.0
Wii,2007.0,790101255470.7872,EU,1.05,79.0
PS3,2008.0,847701674062.6414,EU,1.63,87.0
DS,2008.0,847701674062.6414,EU,0.82,73.0
PS2,2006.0,684704773969.6798,EU,0.88,80.0
X360,2007.0,790101255470.7872,EU,0.81,80.0
PS2,2007.0,790101255470.7872,EU,0.08,78.0
PSP,2007.0,790101255470.7872,EU,0.27,72.0
GC,2001.0,402931315045.37634,EU,0.59,73.0
PS3,2012.0,766614252433.1886,EU,0.22,83.0
X360,2009.0,758429859433.3378,EU,0.55,86.0
GC,2003.0,533581709788.27405,EU,0.57,73.0
PSP,2009.0,758429859433.3378,EU,1.22,87.0
X360,2008.0,847701674062.6414,EU,0.12,83.0
PS2,2001.0,402931315045.37634,EU,1.12,80.0
DS,2010.0,753290960912.9017,EU,1.65,75.0
X360,2013.0,799312477804.6195,EU,0.19,87.0
Wii,2012.0,766614252433.1886,EU,0.83,78.0
Wii,2008.0,847701674062.6414,EU,0.85,50.0
X360,2006.0,684704773969.6798,EU,0.02,82.0
PS2,2002.0,438750932223.38245,EU,0.52,79.0
Wii,2007.0,790101255470.7872,EU,0.77,25.0
PS4,2015.0,728680641956.5527,EU,0.81,92.0
GC,2002.0,438750932223.38245,EU,0.36,70.0
X360,2008.0,847701674062.6414,EU,0.84,85.0
PS3,2012.0,766614252433.1886,EU,0.43,90.0
PS3,2011.0,813223433671.1685,EU,1.04,82.0
PS3,2008.0,847701674062.6414,EU,0.84,87.0
PS4,2014.0,827079607752.4867,EU,0.54,83.0
PS,1997.0,416023625690.5554,EU,0.12,83.0
PS3,2008.0,847701674062.6414,EU,0.53,82.0
PS2,2003.0,533581709788.27405,EU,1.19,81.0
PC,1997.0,416023625690.5554,EU,0.82,83.0
Wii,2010.0,753290960912.9017,EU,0.93,79.0
XOne,2016.0,732733680124.9802,EU,0.74,78.0
XOne,2015.0,728680641956.5527,EU,0.08,84.0
X360,2008.0,847701674062.6414,EU,0.6,82.0
Wii,2010.0,753290960912.9017,EU,0.57,71.0
PSP,2006.0,684704773969.6798,EU,0.97,73.0
PS2,2003.0,533581709788.27405,EU,0.22,66.0
PS3,2010.0,753290960912.9017,EU,1.17,77.0
PS2,2001.0,402931315045.37634,EU,0.26,82.0
PS2,2007.0,790101255470.7872,EU,0.0,62.0
X360,2011.0,813223433671.1685,EU,0.7,82.0
PS2,2005.0,642809709250.7335,EU,0.61,91.0
PS3,2010.0,753290960912.9017,EU,0.15,83.0
X360,2011.0,813223433671.1685,EU,0.69,71.0
PC,2004.0,615542926151.9761,EU,0.02,96.0
PS2,2004.0,615542926151.9761,EU,1.08,62.0
X360,2007.0,790101255470.7872,EU,0.01,85.0
PS2,2004.0,615542926151.9761,EU,0.86,83.0
X360,2010.0,753290960912.9017,EU,0.45,42.0
PS3,2009.0,758429859433.3378,EU,0.13,85.0
X360,2008.0,847701674062.6414,EU,0.45,81.0
X360,2011.0,813223433671.1685,EU,0.43,73.0
PS2,2007.0,790101255470.7872,EU,0.0,71.0
3DS,2015.0,728680641956.5527,EU,0.55,89.0
PS2,2001.0,402931315045.37634,EU,0.7,84.0
XOne,2015.0,728680641956.5527,EU,0.15,86.0
X360,2011.0,813223433671.1685,EU,0.72,66.0
PS2,2004.0,615542926151.9761,EU,1.06,84.0
PS,1999.0,429450453377.072,EU,0.64,86.0
PC,2012.0,766614252433.1886,EU,1.07,90.0
3DS,2012.0,766614252433.1886,EU,0.41,75.0
PS3,2013.0,799312477804.6195,EU,0.8,76.0
PS3,2007.0,790101255470.7872,EU,0.9,80.0
XB,2004.0,615542926151.9761,EU,0.8,77.0
